관리번호,구분명,화장실명,소재지도로명주소,소재지지번주소,관리기관명,전화번호,개방시간,개방시간상세,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,위도,경도
202530000000100910,개방화장실,종묘공영주차장(주차시설운영처),서울특별시 종로구 훈정동 2,서울특별시 종로구 훈정동 1-2,서울시설공단 주차시설운영처,0222906114,정시,00~24,3,6,0,0,0,0,3,0,0,37.5714968799616,126.995049867194
202530000000100860,개방화장실,동대문지하상가 화장실,서울특별시 종로구 율곡로 지하 308,서울특별시 종로구 종로6가 287-1 4호선 동대문역,서울시시설관리공단,0222906545,정시,06:00~24:00,3,5,0,0,0,0,8,0,0,37.5704117093421,127.009546610861
202530000000100912,공중화장실,구기동공중화장실,서울특별시 종로구 비봉길 13,서울특별시 종로구 구기동 120-16,종로구청 청소행정과,0221482383,상시,,2,3,1,0,0,0,5,1,0,37.6095716272147,126.956417315057
202530000000100928,개방화장실,영풍빌딩,서울특별시 종로구 청계천로 41,서울특별시 종로구 서린동 33,영풍빌딩,,정시,07:00-22:30,2,3,0,0,0,0,3,0,0,37.5696679696981,126.982179278549
202530000000100946,개방화장실,버거킹(수송동점),서울특별시 종로구 삼봉로 57,서울특별시 종로구 수송동 68-1,버거킹(수송동점),,상시,,1,1,0,0,0,0,1,0,0,37.5725615164337,126.980473808393
202530000000100846,공중화장실,주식회사 대양씨앤씨 경복궁주유소,서울특별시 종로구 율곡로 6,서울특별시 종로구 중학동 14,종로구청 환경과,0221482114,상시,,1,0,0,0,0,0,1,0,0,37.5754538625026,126.979775832051
202530000000100971,개방화장실,월드그랑서울,서울특별시 종로구 종로 33,서울특별시 종로구 청진동 119-1,월드그랑서울,,상시,,3,5,2,0,0,0,8,2,0,37.5709617749066,126.981437983842
202530000000100884,공중화장실,종로5가역(1),서울특별시 종로구 종로5가 82-1 1호선 종로5가역,서울특별시 종로구 종로5가,서울교통공사,0261101291,정시,05~24,4,4,0,0,0,0,5,0,0,37.5712590152244,127.001924353764
202530000000100864,공중화장실,광장전통시장 기부채납건물 1층,서울특별시 종로구 동호로 403-26,서울특별시 종로구 종로5가 138-33,지역경제과,0221482272,정시,10:00~19:00,1,2,1,0,0,0,3,1,0,37.5704602035629,127.001078192579
202530000000100990,개방화장실,홍염장 공방,서울특별시 종로구 재동 33,서울특별시 종로구 재동 33,홍염장 공방,,정시,10:00~17:00,0,0,1,0,0,0,0,1,0,37.5789462548607,126.984229771505
202530000000100906,개방화장실,서울글로벌센터,서울특별시 종로구 종로 38 서울글로벌센터,서울특별시?종로구?서린동 63,서울시설공단 상가운영처,027396808,정시,08~19,0,0,1,1,0,1,0,1,0,37.5698231937802,126.981480601373
202630000000100001,개방화장실,배꽃에 흰달집,서울특별시 종로구 이화장1나길 29-11 (이화동),서울특별시 종로구 이화동 9-425,박동관,,정시,09:00~17:00,0,1,0,0,0,0,0,0,0,37.5778704770535,127.007421869808
202530000000100942,개방화장실,여전도회관,서울특별시 종로구 율곡로 190,서울특별시 종로구 연지동 1-1,여전도회관,,정시,06:00-23:00,2,2,0,0,0,0,2,0,0,37.5758000450713,127.000078563683
202530000000100808,공중화장실,와룡공원(배드민턴장),서울특별시 종로구 명륜3가 산2-14,서울특별시 종로구 명륜3가 산2-14,종로구청 도시녹지과,0221482832,상시,,1,2,1,0,0,0,3,1,0,37.5892983133587,126.990086054512
202530000000100811,공중화장실,마로니에공원(지상1층),서울특별시 종로구 동숭동 1-124,서울특별시 종로구 동숭동 1-124,종로구청 도시녹지과,0221482832,정시,16시간,4,4,1,0,0,1,9,1,0,37.5804820301789,127.002711409252
202530000000100848,공중화장실,㈜중앙에너비스 혜화지점,서울특별시 종로구 창경궁로35길 1,서울특별시 종로구 혜화동 102-2,종로구청 환경과,0221482114,정시,05:00~23:00,1,1,0,0,0,0,1,0,0,37.5860654223146,127.00107864406
202530000000100954,개방화장실,대학로예술극장,서울특별시 종로구 대학로10길 17,서울특별시 종로구 동숭동 1-67,대학로예술극장,,정시,09:00-22:00,4,3,0,0,0,0,2,0,0,37.5820961487244,127.003178474246
202530000000100800,공중화장실,인왕산 무악지구 공중화장실(인왕사 화장실),서울특별시 종로구 무악동 산2-84,서울특별시 종로구 무악동 산2-84,종로구청 도시녹지과,0221482832,상시,,2,2,0,0,0,0,3,0,0,37.5778927389535,126.960456683277
202530000000100805,공중화장실,창의문안내소 공중화장실(창의문 안내소 앞),서울특별시 종로구 청운동 산1-1,서울특별시 종로구 청운동 산1-1,종로구청 도시녹지과,0221482832,상시,,2,3,1,0,0,0,7,1,0,37.5913455759353,126.971829062756
202530000000100898,공중화장실,종로3가역(5),서울특별시 종로구 낙원동 126 종로3가역(5호선),서울특별시 종로구 낙원동 1,서울교통공사,0263115341,정시,05~24,5,6,0,0,0,0,7,0,0,37.572575750856,126.989751730219
202530000000100866,개방화장실,혜화동공중화장실(한옥청사),서울특별시 종로구 혜화로 12,서울특별시 종로구 혜화동 74-29,종로구 혜화동주민센터,0221485334,정시,09:00~18:00,1,1,0,0,0,0,1,0,0,37.5868515419041,127.000623054549
202530000000100984,개방화장실,㈜지에스이앤알 평창주유소,서울특별시 종로구 평창문화로 135,서울특별시 종로구 평창동 80-1,㈜지에스이앤알 평창주유소,,상시,,1,2,0,0,0,0,1,0,0,37.609738479959,126.974559174167
202530000000100882,공중화장실,종로3가역(1),서울특별시 종로3가 10-5 1호선 종로3가역(1호선),서울특별시 종로구 종로3가 10-5,서울교통공사,0261101301,정시,05~24,5,6,0,0,0,0,7,0,0,37.5706091184247,126.990465815535
202530000000100940,개방화장실,인창빌딩,서울특별시 종로구 인사동길 29,서울특별시 종로구 관훈동 197-4,인창빌딩,,정시,05:00-24:00,1,1,0,0,0,0,1,0,0,37.5732486571148,126.985815890293
202530000000100983,개방화장실,SK네트웍스㈜재동주유소,서울특별시 종로구 율곡로 58,서울특별시 종로구 경운동 96-18,SK네트웍스㈜재동주유소,,정시,06:00~23:00,1,1,0,0,0,0,1,0,0,37.5764266487363,126.985842683144
202530000000100870,개방화장실,창신3동 주민센터,"서울특별시 종로구 지봉로 87, 2층",서울특별시 종로구 창신동 23-816,종로구 창신3동주민센터,0221485454,정시,09:00~18:00,1,2,1,1,0,0,2,1,0,37.5780295588982,127.014558601401
202530000000100839,개방화장실,남인사마당 공중화장실,서울특별시 종로구 인사동길 6,서울특별시 종로구 인사동 43-2,종로구시설관리공단 시설관리부,027307282,정시,07:00~23:00,5,10,1,1,0,1,25,1,1,37.5714821590325,126.987337488088
202530000000100893,공중화장실,종로3가역(3),서울특별시 종로구 묘동 59 종로3가역(3호선),서울특별시 종로구 묘동 59,서울교통공사,0261103291,정시,05~24,2,1,0,0,0,0,1,0,0,37.5670693396318,126.996174146233
202530000000100989,개방화장실,인사동마루 본관,서울특별시 종로구 인사동길 35-6,서울특별시 종로구 관훈동 192-15,인사동마루,,정시,10:30~18:30,0,0,1,0,0,0,0,1,0,37.5734135359001,126.985058887009
202530000000100904,개방화장실,동대문,서울특별시 종로구 율곡로 지하 308호,서울특별시 종로구 종로6가 287-1,서울시설공단 상가운영처,0222906545,정시,05~24,3,5,0,0,0,0,8,0,0,37.5704117093421,127.009546610861
202530000000100947,개방화장실,신진시장(만남의 장소),서울특별시 종로구 종로38길 16,서울특별시 종로구 종로5가 225-21,신진시장(만남의 장소),,상시,,1,2,0,0,0,0,4,0,0,37.5702282787637,127.004946200191
202530000000100809,공중화장실,경희궁공원,서울특별시 종로구 신문로2가 2-1,서울특별시 종로구 신문로2가 2-1,종로구청 도시녹지과,0221482832,상시,,1,5,1,0,0,0,1,1,0,37.5708963268069,126.968856070517
202530000000100958,개방화장실,세운스퀘어(주얼리관),서울특별시 종로구 창경궁로 109,서울특별시 종로구 인의동 112-2,세운스퀘어,,정시,09:30-20:00 +일요일폐쇄,2,3,1,0,0,0,5,1,0,37.5723490188717,126.997086146344
202530000000100913,공중화장실,삼청동공중화장실,서울특별시 종로구 삼청로 117,서울특별시 종로구 삼청동 145-2,종로구청 청소행정과,0221482383,상시,,2,3,1,0,0,0,5,1,0,37.5858635341758,126.981676913355
202530000000100810,공중화장실,숭인공원,서울특별시 종로구 숭인동 58,서울특별시 종로구 숭인동 58,종로구청 도시녹지과,0221482832,상시,,2,2,1,0,0,0,4,1,0,37.576055524349,127.017547609345
202530000000100852,개방화장실,강북삼성병원,서울특별시 종로구 새문안로 29,서울특별시 종로구 평동 108-1,강북삼성병원,0215998114,정시,평일 08:30~17:00,1,2,1,1,0,0,3,1,0,37.5688677261045,126.967812703696
202530000000100997,개방화장실,한국색동박물관,"서울특별시 종로구 율곡로10길 85-7 1층, 2층",서울특별시 종로구 권농동 187-25,색동박물관,,정시,10:00~18:00,1,0,0,0,0,0,1,0,0,37.5738877793786,126.992091307243
202530000000101005,개방화장실,자하문주유소,서울특별시 종로구 자하문로 248,서울특별시 종로구 부암동 155-3,자하문주유소,,상시,,1,2,0,0,0,0,1,0,0,37.5963008098912,126.964348123069
202530000000100821,공중화장실,청운대안내소 공중화장실(청운대 안내소 앞),서울특별시 종로구 부암동 16-3,서울특별시 종로구 부암동 16-3,종로구청 도시녹지과,0221482832,상시,,1,2,0,0,0,0,1,1,0,37.5962976732338,126.972882208263
202530000000100968,개방화장실,성터교회,서울특별시 종로구 낙산성곽동길 26,서울특별시 종로구 창신2동 640-243,성터교회,,정시,07:00-18:00+ 일요일폐쇄,1,1,0,0,0,0,1,0,0,37.5749498612181,127.009293049727
202530000000100841,개방화장실,종로구민회관,서울특별시 종로구 지봉로5길 7-5,서울특별시 종로구 창신동 222-8,종로구시설관리공단 건강사업부,0221484061,정시,09:00~18:00,1,1,1,0,0,0,1,1,0,37.5735002829862,127.01436607091
202530000000100816,공중화장실,산마루놀이터,서울특별시 종로구 창신동 23-350,서울특별시 종로구 창신동 23-350,종로구청 도시녹지과,0221482832,정시,9시간,1,1,1,1,1,1,1,0,1,37.5755712613063,127.012406910861
202530000000101000,개방화장실,㈜대양씨앤씨 사직주유소,서울특별시 종로구 사직로 65,서울특별시 종로구 사직동 262-85 사직주유소,㈜대양씨앤씨 사직주유소,,상시,,1,2,0,0,0,0,1,0,0,37.5745415909136,126.966616657335
202530000000100931,개방화장실,계원빌딩,서울특별시 종로구 청계천로 71,서울특별시 종로구 관철동 32-4,계원빌딩,,정시,06:00-22:30,2,2,0,0,0,0,2,0,0,37.5687834664513,126.98550002156
202530000000100920,공중화장실,인왕산등산로입구 공중화장실,서울특별시 종로구 무악동 46-1894,서울특별시 종로구 무악동 46-1894,종로구청 청소행정과,0221482383,상시,,1,1,0,0,0,0,2,0,0,37.5774042634237,126.961130294307
202530000000100820,공중화장실,인왕산 청운지구(3)(청운공원 어린이놀이터 화장실),서울특별시 종로구 청운동 7-6,서울특별시 종로구 청운동 7-6,종로구청 도시녹지과,0221482832,정시,08:30-16:30,1,1,0,0,0,0,2,0,0,37.5893458624161,126.965217382971
202530000000100972,개방화장실,JW 매리어트 호텔,서울특별시 종로구 청계천로 279,서울특별시 종로구 종로6가 289-3,JW 매리어트 호텔,,상시,,2,2,1,0,0,0,2,1,0,37.5704485321397,127.008743829151
202530000000100843,개방화장실,삼청테니스장,서울특별시 종로구 삼청로 156,서울특별시 종로구 삼청동 산2-1,종로구시설관리공단 건강사업부,0221484068,정시,월-금07:00~21:00 토-일07:00~18:00 공휴일09:00~18:00,2,2,0,0,0,0,3,0,0,37.5888742812572,126.982806263575
202530000000100855,개방화장실,사직동 주민센터화장실,서울특별시 종로구 사직로9길 1,서울특별시 종로구 사직동 1-28,종로구 사직동주민센터,0221485035,정시,09:00~18:00,1,1,0,0,0,0,2,1,0,37.5760685772833,126.968853916525
202530000000100892,공중화장실,종로3가역(3),서울특별시 종로구 묘동 59 종로3가역(3호선),서울특별시 종로구 묘동 59,서울교통공사,0261103291,정시,05~24,5,5,0,0,0,0,9,0,0,37.5670693396318,126.996174146233
202530000000100927,개방화장실,SK본사,서울특별시 종로구 종로 26,서울특별시 종로구 서린동 99,Sk본사,,정시,07:00-20:00,2,4,1,0,0,0,2,1,0,37.5696912777696,126.980303746598
202530000000100975,개방화장실,안동교회,서울특별시 종로구 윤보선길 57,서울특별시 종로구 안국동 27,안동교회,,상시,,0,1,0,0,0,0,1,0,0,37.5783809132476,126.983158150038
202530000000100994,개방화장실,락고재 북촌빈관(서울공공한옥),서울특별시 종로구 북촌로11가길 10,서울특별시 종로구 가회동 31-122,락고재 북촌빈관(서울공공한옥),,정시,"10:00~17:00, 월,화 휴관",1,2,0,0,0,0,3,0,0,37.5822935334166,126.984203931963
202530000000101001,개방화장실,서대문교회,"서울특별시 종로구 통일로8길 16, 2층",서울특별시 종로구 송월동 148,서대문교회,,정시,"05:00~22:00, 무휴",1,3,1,0,0,0,2,1,0,37.5694147352595,126.965319699378
202530000000100943,개방화장실,경희궁의 아침 3단지,서울특별시 종로구 사직로8길 34,서울특별시 종로구 내수동 72,경희궁의 아침 3단지,,상시,,3,3,0,0,0,0,4,0,0,37.5735877659071,126.9724255294
202530000000100850,개방화장실,평창동주민센터,서울특별시 종로구 평창문화로 65,서울특별시 종로구 평창동 186-9,종로구 평창동주민센터,0221485122,정시,09시~18시,1,1,1,1,0,0,2,1,0,37.606373318428,126.968367445006
202530000000100952,개방화장실,하나로빌딩,서울특별시 종로구 인사동5길 25,서울특별시 종로구 인사동 194-4,하나로빌딩,,정시,05:00-21:00,4,3,0,1,0,0,3,0,0,37.5720973140597,126.985392406484
202530000000100858,개방화장실,삼청동 주민센터,서울특별시 종로구 삼청로 107,서울특별시 종로구 삼청동 105-1,종로구 삼청동주민센터,0221485064,정시,9시간,2,2,1,1,0,0,1,1,0,37.5850053660693,126.981856687592
202530000000100818,공중화장실,우정총국시민광장,서울특별시 종로구 견지동 39-8,서울특별시 종로구 견지동 39-8,종로구청 도시녹지과,0221482832,정시,9시간,1,2,0,0,0,0,5,0,0,37.574294113637,126.982681018941
202530000000101004,개방화장실,맥도날드 서울동묘앞역점,서울특별시 종로구 종로 339,서울특별시 종로구 창신동 290,맥도날드 서울동묘앞역점,,상시,,2,1,0,0,0,0,2,0,0,37.5731642087423,127.015112901027
202530000000100933,개방화장실,광장시장 1층 청과부,서울특별시 종로구 창경궁로 88,서울특별시 종로구 예지동 2-1,광장시장,,정시,08:00-21:30,2,4,0,0,0,0,3,0,0,37.5701196320637,126.999798964693
202530000000100945,개방화장실,맥도날드(대학로),서울특별시 종로구 대학로 130,서울특별시 종로구 동숭동 1-34,맥도날드(대학로),,정시,07:00-01:00,1,1,0,0,0,0,2,0,0,37.5828910290214,127.002116099511
202530000000100822,공중화장실,청운대쉼터 공중화장실,서울특별시 종로구 삼청동 산2-1,서울특별시 종로구 삼청동 산2-1,종로구청 도시녹지과,0221482832,상시,,1,2,0,0,0,0,2,0,0,37.592167680872,126.982823962243
202530000000100909,개방화장실,낙산공원 정상,서울특별시 종로구 낙산성곽서길 173,서울특별시 종로구 동숭동 산2-32,중부공원여가센터,0311234567,정시,00~24,1,2,2,0,0,0,2,1,0,37.579840084989,127.008253028696
202530000000100827,공중화장실,창이놀이터,서울특별시 종로구 창신동 622-12,서울특별시 종로구 창신동 622-12,종로구청 도시녹지과,0221482832,정시,09:00-16:00/월~금,1,1,0,0,0,0,1,0,0,37.5788370777743,127.008544090895
202530000000100856,개방화장실,부암동 주민센터화장실,서울특별시 종로구 창의문로 145,서울특별시 종로구 부암동 265-21,종로구 부암동주민센터,0221482383,정시,9시간,2,2,1,0,0,0,2,1,0,37.5924113232874,126.964064980438
202530000000100836,공중화장실,북촌마을안내소공중화장실,서울특별시 종로구 북촌로5길 48,서울특별시 종로구 화동 2,종로구청 관광체육과,0221481852,정시,07:30~21:00,1,2,1,0,1,0,5,1,1,37.5812654545612,126.983870059299
202530000000100824,공중화장실,와룡공원(관리실옆),서울특별시 종로구 혜화동 산2-13,서울특별시 종로구 혜화동 산2-13,종로구청 도시녹지과,0221482832,상시,,1,2,0,0,0,0,2,0,0,37.5911387846792,126.991418723127
202530000000100902,개방화장실,종로4가,서울특별시 종로구 창경궁로 지하 81,서울특별시 종로구 예지동 187-2,서울시설공단 상가운영처,0222906244,정시,06~22,2,3,0,0,0,0,6,0,0,37.5697464206789,126.997868085539
202530000000100845,공중화장실,북악팔각정 공중화장실,서울특별시 종로구 북악산로 267,서울특별시 종로구 평창동 산 6-17,종로구시설관리공단 시설관리부,0236760585,정시,11:00~23:00,4,7,1,0,0,0,7,1,0,37.601975429062,126.980551282647
202530000000100930,개방화장실,KFC대학로점,서울특별시 종로구 대학로120,서울특별시 종로구 동숭동 1-27,KFC대학로점,,상시,,1,2,0,0,0,0,2,0,0,37.5818758763205,127.002292683609
202530000000100883,공중화장실,종로3가역(1),서울특별시 종로3가 10-5 1호선 종로3가역(1호선),서울특별시 종로구 종로3가 10-5,서울교통공사,0261101301,정시,05~24,4,5,0,0,0,0,4,0,0,37.5706091184247,126.990465815535
202530000000100973,개방화장실,숭인빌딩,서울특별시 종로구 청계천로 383,서울특별시 종로구 숭인동 234-2,숭인빌딩,,상시,,1,2,0,0,0,0,1,0,0,37.5718650987292,127.019758292485
202530000000100817,공중화장실,종묘광장,서울특별시 종로구 훈정동 2,서울특별시 종로구 훈정동 2,종로구청 도시녹지과,0221482832,상시,,4,20,1,0,0,0,7,1,0,37.5714968799616,126.995049867194
202530000000100915,공중화장실,동묘시장공중화장실,서울특별시 종로구 종로58길 27,서울특별시 종로구 숭인동 236-2외1,종로구청 청소행정과,0221482383,정시,09 ~ 18시,3,4,1,0,0,0,5,1,0,37.5723872194726,127.018687907609
202530000000100970,개방화장실,서울대학교 외래암센터내,서울특별시 종로구 대학로 101,서울특별시 종로구 연건동 28-21,서울대학교 외래암센터내,,정시,"월-금(05:00-24:00), 토(05:00-17:00), 일 휴무",3,2,1,1,0,0,6,1,0,37.5804523853297,126.997196437908
202530000000100985,개방화장실,북촌발효공방(빚담),서울특별시 종로구 가회동 11-39,서울특별시 종로구 북촌로12길 5-12,북촌발효공방(빚담),,정시,10:00~17:00,0,1,0,0,0,0,1,0,0,37.5823500119833,126.985501240056
202530000000100914,공중화장실,창신동공중화장실,서울특별시 종로구 지봉로13길 46,서울특별시 종로구 창신동 23-315,종로구청 청소행정과,0221482383,상시,,2,2,0,0,0,0,2,0,0,37.5787175980233,127.012647661496
202530000000100815,공중화장실,지봉골어린이공원,서울특별시 종로구 창신동 산6-25,서울특별시 종로구 창신동 산6-25,종로구청 도시녹지과,0221482832,상시,,3,2,0,0,1,1,3,0,0,37.5788767559093,127.014621370826
202530000000100829,개방화장실,종로구청화장실,서울특별시 종로구 삼봉로 43,서울특별시 종로구 수송동 146-2,종로구청 행정지원과,0221481114,정시,평일9시간(09:00~18:00),37,48,0,0,0,0,35,0,0,37.572937293976,126.979256246234
202530000000100980,개방화장실,SK북악주유소,서울특별시 종로구 평창문화로 137,서울특별시 종로구 평창동 103-1,SK북악주유소,,상시,,1,1,0,0,0,0,2,0,0,37.6098529710689,126.974864699167
202530000000100828,공중화장실,무악동배드민턴장 공중화장실,서울특별시 종로구 통일로18가길 46,서울특별시 종로구 무악동 48,종로구청 도시녹지과,0221482832,상시,,1,1,0,0,0,0,2,0,0,37.5778668023282,126.958394513267
202530000000100967,개방화장실,한일빌딩,서울특별시 종로구 청계천로 229,서울특별시 종로구 종로5가 314-7,한일빌딩,,정시,08:00-19:00,2,1,0,0,0,0,2,0,0,37.5701340995047,127.003025038619
202530000000100899,공중화장실,동묘앞역(6),서울특별시 종로구 창신동 263-2 동묘앞역(6호선),서울특별시 종로구 창신동 2,서울교통공사,0263116361,정시,05~24,3,5,0,0,0,0,3,0,0,37.572779417326,127.015624258974
202530000000100948,개방화장실,4.19도서관,서울특별시 종로구 새문안로 17,서울특별시 종로구 평동 166,4.19도서관,,정시,08:00-22:00,2,3,0,0,0,0,2,0,0,37.5674449313701,126.967693785699
202530000000100992,개방화장실,베드로빌딩,서울특별시 종로구 이화장길 36-2,서울특별시 종로구 이화동 90-5 베드로빌딩,베드로빌딩,,정시,09:00~18:00,1,0,0,0,0,0,1,0,0,37.5767550101286,127.004586411654
202530000000100962,개방화장실,"쌈지길(지상1,2층)",서울특별시 종로구 인사동길 44,서울특별시 종로구 관훈동 38,쌈지길,,정시,10:30-20:30,2,2,0,0,0,0,2,0,0,37.5742647725946,126.984876575201
202530000000100819,공중화장실,무궁화동산,서울특별시 종로구 궁정동 55-3,서울특별시 종로구 궁정동 55-3,종로구청 도시녹지과,0221482832,상시,,1,2,0,0,0,0,8,0,0,37.5842406499187,126.972344839459
202530000000100922,공중화장실,창2공중화장실(창신1지역),서울특별시 종로구 창신4가길 34-15,서울특별시 종로구 창신동 640-223,종로구청 청소행정과,0221482383,상시,,1,1,0,0,0,0,2,0,0,37.5750248711119,127.009823641416
202530000000100903,개방화장실,종오,서울특별시 종로구 종로 지하 200,서울특별시 종로구 종로5가 82-1,서울시설공단 상가운영처,0222906433,정시,05~24,3,3,1,0,1,0,7,1,1,37.5708881812462,127.000060220655
202530000000100874,개방화장실,서울생활문화센터 체부,서울특별시 종로구 자하문로1나길 3-2,서울특별시 종로구 체부동 188외2,서울시 문화정책과,0262720111,정시,10~22,1,1,0,0,0,0,2,0,0,37.5767084987432,126.97148941423
202530000000100897,공중화장실,광화문역(5),서울특별시 종로구 세종로 1-90 광화문역,서울특별시 종로구 세종로 1,서울교통공사,0263115331,정시,05~24,3,5,0,0,0,0,6,0,0,37.5715582152554,126.977216239632
202530000000100865,개방화장실,종로5-6가동주민센터,서울특별시 종로구 종로35가길 19,서울특별시 종로구 효제동 173-2,종로5-6가동주민센터,0221485272,정시,09:00~18:00,2,3,0,0,0,0,2,0,0,37.5720611697886,127.005031333474
202530000000100825,공중화장실,마로니에공원(지하1층),서울특별시 종로구 동숭동 1-124,서울특별시 종로구 동숭동 1-124,종로구청 도시녹지과,0221482832,정시,16시간,2,2,1,0,0,0,4,1,0,37.5804820301789,127.002711409252
202530000000100887,공중화장실,동묘앞역(1),서울특별시 종로구 숭인동 117 동묘앞역(1호선),서울특별시 종로구 숭인동 1,서울교통공사,0261101271,정시,05~24,1,2,0,0,0,0,6,0,0,37.5735966798012,127.017139169849
202530000000100923,공중화장실,참샘골공원 공중화장실,서울특별시 종로구 평창길 273,서울특별시 종로구 평창동 470,종로구청 청소행정과,0221482383,상시,,1,1,0,0,0,0,1,0,0,37.6151144204213,126.974605479822
202530000000100938,개방화장실,종합시장D동상가 본관지하1층,서울특별시 종로구 종로 266,서울특별시 종로구 종로6가 262-1,종합시장D동상가,,정시,07:00-20:00+일요일격주휴무,3,4,0,0,0,0,5,0,0,37.5707064933341,127.007328677369
202530000000100894,공중화장실,혜화역(4),서울특별시 종로구 명륜4가 96-5 4호선 혜화역,서울특별시 종로구 명륜4가,서울교통공사,0261104201,정시,05~24,4,6,0,0,0,0,7,0,0,37.5815615279953,127.001812424946
202530000000100907,개방화장실,세종로공영주차장,서울특별시 종로구 세종대로 789,서울특별시 종로구 세종로 80-1,서울시설공단 주차시설운영처,0222906114,정시,00~24,4,6,0,0,0,0,4,0,0,37.5733740925746,126.975914786533
202530000000100869,개방화장실,창신2동 주민센터,서울특별시 종로구 창신길 62,서울특별시 종로구 창신동 583-3,종로구 창신2동주민센터,0221485423,정시,09:00~18:00,2,3,1,0,0,0,2,1,0,37.5744504852924,127.010871025091
202530000000100965,개방화장실,동림매듭박물관,서울특별시 종로구 북촌로12길 10,서울특별시 종로구 가회동 11-7,동림매듭박물관,,정시,10:00-18:00+ 월요일휴관,0,1,0,0,0,0,1,0,0,37.5817835710003,126.985612978132
202530000000100969,개방화장실,동대문종합시장 D동상가 2층,서울특별시 종로구 종로 266,서울특별시 종로구 종로6가 270-3,동대문종합시장 D동상가 2층,,정시,07:00-20:00+ 일요일폐쇄,4,5,0,0,0,0,5,0,0,37.5707064933341,127.007328677369
202530000000100951,개방화장실,라이온스 빌딩,서울특별시 종로구 삼일대로 451,서울특별시 종로구 경운동 70,라이온스 빌딩,,정시,(평일)05:00-22:00+(주말)05:00-14:00+일요일폐쇄,2,1,0,1,0,0,2,0,0,37.5747240385223,126.986608028131
202530000000100889,공중화장실,동묘앞역(1),서울특별시 종로구 숭인동 117 동묘앞역(1호선),서울특별시 종로구 숭인동 1,서울교통공사,0261101271,정시,05~24,1,2,0,0,0,0,3,0,0,37.5735966798012,127.017139169849
